inventoryId,filmId,storeId,lastUpdate
4582,1,7,2006-02-15 05:09:17.000
4583,1,7,2006-02-15 05:09:17.000
4584,1,7,2006-02-15 05:09:17.000
4585,1,7,2006-02-15 05:09:17.000
4586,1,7,2006-02-15 05:09:17.000
4587,1,7,2006-02-15 05:09:17.000
4588,1,7,2006-02-15 05:09:17.000
4589,2,7,2006-02-15 05:09:17.000
4590,2,7,2006-02-15 05:09:17.000
4591,2,7,2006-02-15 05:09:17.000
4592,2,7,2006-02-15 05:09:17.000
4593,2,7,2006-02-15 05:09:17.000
4594,2,7,2006-02-15 05:09:17.000
4595,3,7,2006-02-15 05:09:17.000
4596,3,7,2006-02-15 05:09:17.000
4597,3,7,2006-02-15 05:09:17.000
4598,3,7,2006-02-15 05:09:17.000
4599,3,7,2006-02-15 05:09:17.000
4600,3,7,2006-02-15 05:09:17.000
4601,3,7,2006-02-15 05:09:17.000
4602,4,7,2006-02-15 05:09:17.000
4603,4,7,2006-02-15 05:09:17.000
4604,4,7,2006-02-15 05:09:17.000
4605,4,7,2006-02-15 05:09:17.000
4606,4,7,2006-02-15 05:09:17.000
4607,4,7,2006-02-15 05:09:17.000
4608,4,7,2006-02-15 05:09:17.000
4609,4,7,2006-02-15 05:09:17.000
4610,5,7,2006-02-15 05:09:17.000
4611,5,7,2006-02-15 05:09:17.000
4612,5,7,2006-02-15 05:09:17.000
4613,6,7,2006-02-15 05:09:17.000
4614,6,7,2006-02-15 05:09:17.000
4615,6,7,2006-02-15 05:09:17.000
4616,6,7,2006-02-15 05:09:17.000
4617,6,7,2006-02-15 05:09:17.000
4618,7,7,2006-02-15 05:09:17.000
4619,7,7,2006-02-15 05:09:17.000
4620,7,7,2006-02-15 05:09:17.000
4621,7,7,2006-02-15 05:09:17.000
4622,8,7,2006-02-15 05:09:17.000
4623,8,7,2006-02-15 05:09:17.000
4624,8,7,2006-02-15 05:09:17.000
4625,8,7,2006-02-15 05:09:17.000
4626,8,7,2006-02-15 05:09:17.000
4627,8,7,2006-02-15 05:09:17.000
4628,9,7,2006-02-15 05:09:17.000
4629,9,7,2006-02-15 05:09:17.000
4630,9,7,2006-02-15 05:09:17.000
4631,9,7,2006-02-15 05:09:17.000
4632,9,7,2006-02-15 05:09:17.000
4633,9,7,2006-02-15 05:09:17.000
4634,9,7,2006-02-15 05:09:17.000
4635,10,7,2006-02-15 05:09:17.000
4636,10,7,2006-02-15 05:09:17.000
4637,10,7,2006-02-15 05:09:17.000
4638,10,7,2006-02-15 05:09:17.000
4639,10,7,2006-02-15 05:09:17.000
4640,10,7,2006-02-15 05:09:17.000
4641,10,7,2006-02-15 05:09:17.000
4642,11,7,2006-02-15 05:09:17.000
4643,11,7,2006-02-15 05:09:17.000
4644,11,7,2006-02-15 05:09:17.000
4645,11,7,2006-02-15 05:09:17.000
4646,11,7,2006-02-15 05:09:17.000
4647,11,7,2006-02-15 05:09:17.000
4648,11,7,2006-02-15 05:09:17.000
4649,11,7,2006-02-15 05:09:17.000
4650,12,7,2006-02-15 05:09:17.000
4651,12,7,2006-02-15 05:09:17.000
4652,12,7,2006-02-15 05:09:17.000
4653,12,7,2006-02-15 05:09:17.000
4654,12,7,2006-02-15 05:09:17.000
4655,12,7,2006-02-15 05:09:17.000
4656,12,7,2006-02-15 05:09:17.000
4657,12,7,2006-02-15 05:09:17.000
4658,12,7,2006-02-15 05:09:17.000
4659,13,7,2006-02-15 05:09:17.000
4660,13,7,2006-02-15 05:09:17.000
4661,13,7,2006-02-15 05:09:17.000
4662,13,7,2006-02-15 05:09:17.000
4663,13,7,2006-02-15 05:09:17.000
4664,13,7,2006-02-15 05:09:17.000
4665,13,7,2006-02-15 05:09:17.000
4666,13,7,2006-02-15 05:09:17.000
4667,13,7,2006-02-15 05:09:17.000
4668,14,7,2006-02-15 05:09:17.000
4669,14,7,2006-02-15 05:09:17.000
4670,14,7,2006-02-15 05:09:17.000
4671,14,7,2006-02-15 05:09:17.000
4672,14,7,2006-02-15 05:09:17.000
4673,14,7,2006-02-15 05:09:17.000
4674,14,7,2006-02-15 05:09:17.000
4675,14,7,2006-02-15 05:09:17.000
4676,15,7,2006-02-15 05:09:17.000
4677,15,7,2006-02-15 05:09:17.000
4678,15,7,2006-02-15 05:09:17.000
4679,15,7,2006-02-15 05:09:17.000
4680,15,7,2006-02-15 05:09:17.000
4681,15,7,2006-02-15 05:09:17.000
4682,16,7,2006-02-15 05:09:17.000
4683,16,7,2006-02-15 05:09:17.000
4684,16,7,2006-02-15 05:09:17.000
4685,16,7,2006-02-15 05:09:17.000
4686,16,7,2006-02-15 05:09:17.000
4687,16,7,2006-02-15 05:09:17.000
4688,16,7,2006-02-15 05:09:17.000
4689,16,7,2006-02-15 05:09:17.000
4690,17,7,2006-02-15 05:09:17.000
4691,17,7,2006-02-15 05:09:17.000
4692,17,7,2006-02-15 05:09:17.000
4693,17,7,2006-02-15 05:09:17.000
4694,17,7,2006-02-15 05:09:17.000
4695,17,7,2006-02-15 05:09:17.000
4696,18,7,2006-02-15 05:09:17.000
4697,18,7,2006-02-15 05:09:17.000
4698,18,7,2006-02-15 05:09:17.000
4699,18,7,2006-02-15 05:09:17.000
4700,18,7,2006-02-15 05:09:17.000
4701,18,7,2006-02-15 05:09:17.000
4702,18,7,2006-02-15 05:09:17.000
4703,18,7,2006-02-15 05:09:17.000
4704,19,7,2006-02-15 05:09:17.000
4705,19,7,2006-02-15 05:09:17.000
4706,19,7,2006-02-15 05:09:17.000
4707,19,7,2006-02-15 05:09:17.000
4708,19,7,2006-02-15 05:09:17.000
4709,20,7,2006-02-15 05:09:17.000
4710,20,7,2006-02-15 05:09:17.000
4711,20,7,2006-02-15 05:09:17.000
4712,20,7,2006-02-15 05:09:17.000
4713,20,7,2006-02-15 05:09:17.000
4714,20,7,2006-02-15 05:09:17.000
4715,20,7,2006-02-15 05:09:17.000
4716,20,7,2006-02-15 05:09:17.000
4717,21,7,2006-02-15 05:09:17.000
4718,21,7,2006-02-15 05:09:17.000
4719,21,7,2006-02-15 05:09:17.000
4720,21,7,2006-02-15 05:09:17.000
4721,22,7,2006-02-15 05:09:17.000
4722,22,7,2006-02-15 05:09:17.000
4723,22,7,2006-02-15 05:09:17.000
4724,22,7,2006-02-15 05:09:17.000
4725,22,7,2006-02-15 05:09:17.000
4726,22,7,2006-02-15 05:09:17.000
4727,23,7,2006-02-15 05:09:17.000
4728,23,7,2006-02-15 05:09:17.000
4729,23,7,2006-02-15 05:09:17.000
4730,24,7,2006-02-15 05:09:17.000
4731,24,7,2006-02-15 05:09:17.000
4732,24,7,2006-02-15 05:09:17.000
4733,24,7,2006-02-15 05:09:17.000
4734,24,7,2006-02-15 05:09:17.000
4735,24,7,2006-02-15 05:09:17.000
4736,24,7,2006-02-15 05:09:17.000
4737,25,7,2006-02-15 05:09:17.000
4738,25,7,2006-02-15 05:09:17.000
4739,25,7,2006-02-15 05:09:17.000
4740,25,7,2006-02-15 05:09:17.000
4741,25,7,2006-02-15 05:09:17.000
4742,25,7,2006-02-15 05:09:17.000
4743,25,7,2006-02-15 05:09:17.000
4744,25,7,2006-02-15 05:09:17.000
4745,25,7,2006-02-15 05:09:17.000
4746,26,7,2006-02-15 05:09:17.000
4747,26,7,2006-02-15 05:09:17.000
4748,26,7,2006-02-15 05:09:17.000
4749,26,7,2006-02-15 05:09:17.000
4750,26,7,2006-02-15 05:09:17.000
4751,26,7,2006-02-15 05:09:17.000
4752,26,7,2006-02-15 05:09:17.000
4753,26,7,2006-02-15 05:09:17.000
4754,27,7,2006-02-15 05:09:17.000
4755,27,7,2006-02-15 05:09:17.000
4756,27,7,2006-02-15 05:09:17.000
4757,27,7,2006-02-15 05:09:17.000
4758,27,7,2006-02-15 05:09:17.000
4759,28,7,2006-02-15 05:09:17.000
4760,28,7,2006-02-15 05:09:17.000
4761,28,7,2006-02-15 05:09:17.000
4762,28,7,2006-02-15 05:09:17.000
4763,28,7,2006-02-15 05:09:17.000
4764,28,7,2006-02-15 05:09:17.000
4765,28,7,2006-02-15 05:09:17.000
4766,28,7,2006-02-15 05:09:17.000
4767,29,7,2006-02-15 05:09:17.000
4768,29,7,2006-02-15 05:09:17.000
4769,29,7,2006-02-15 05:09:17.000
4770,29,7,2006-02-15 05:09:17.000
4771,29,7,2006-02-15 05:09:17.000
4772,29,7,2006-02-15 05:09:17.000
4773,29,7,2006-02-15 05:09:17.000
4774,30,7,2006-02-15 05:09:17.000
4775,30,7,2006-02-15 05:09:17.000
4776,30,7,2006-02-15 05:09:17.000
4777,30,7,2006-02-15 05:09:17.000
4778,30,7,2006-02-15 05:09:17.000
4779,30,7,2006-02-15 05:09:17.000
4780,30,7,2006-02-15 05:09:17.000
4781,30,7,2006-02-15 05:09:17.000
4782,30,7,2006-02-15 05:09:17.000
4783,31,7,2006-02-15 05:09:17.000
4784,31,7,2006-02-15 05:09:17.000
4785,31,7,2006-02-15 05:09:17.000
4786,31,7,2006-02-15 05:09:17.000
4787,31,7,2006-02-15 05:09:17.000
4788,31,7,2006-02-15 05:09:17.000
4789,31,7,2006-02-15 05:09:17.000
4790,31,7,2006-02-15 05:09:17.000
4791,31,7,2006-02-15 05:09:17.000
4792,32,7,2006-02-15 05:09:17.000
4793,32,7,2006-02-15 05:09:17.000
4794,32,7,2006-02-15 05:09:17.000
4795,32,7,2006-02-15 05:09:17.000
4796,32,7,2006-02-15 05:09:17.000
4797,33,7,2006-02-15 05:09:17.000
4798,33,7,2006-02-15 05:09:17.000
4799,33,7,2006-02-15 05:09:17.000
4800,33,7,2006-02-15 05:09:17.000
4801,33,7,2006-02-15 05:09:17.000
4802,33,7,2006-02-15 05:09:17.000
4803,34,7,2006-02-15 05:09:17.000
4804,34,7,2006-02-15 05:09:17.000
4805,34,7,2006-02-15 05:09:17.000
4806,34,7,2006-02-15 05:09:17.000
4807,34,7,2006-02-15 05:09:17.000
4808,34,7,2006-02-15 05:09:17.000
4809,34,7,2006-02-15 05:09:17.000
4810,34,7,2006-02-15 05:09:17.000
4811,34,7,2006-02-15 05:09:17.000
4812,35,7,2006-02-15 05:09:17.000
4813,35,7,2006-02-15 05:09:17.000
4814,35,7,2006-02-15 05:09:17.000
4815,35,7,2006-02-15 05:09:17.000
4816,35,7,2006-02-15 05:09:17.000
4817,35,7,2006-02-15 05:09:17.000
4818,35,7,2006-02-15 05:09:17.000
4819,36,7,2006-02-15 05:09:17.000
4820,36,7,2006-02-15 05:09:17.000
4821,36,7,2006-02-15 05:09:17.000
4822,36,7,2006-02-15 05:09:17.000
4823,36,7,2006-02-15 05:09:17.000
4824,36,7,2006-02-15 05:09:17.000
4825,36,7,2006-02-15 05:09:17.000
4826,36,7,2006-02-15 05:09:17.000
4827,37,7,2006-02-15 05:09:17.000
4828,37,7,2006-02-15 05:09:17.000
4829,37,7,2006-02-15 05:09:17.000
4830,37,7,2006-02-15 05:09:17.000
4831,37,7,2006-02-15 05:09:17.000
4832,37,7,2006-02-15 05:09:17.000
4833,37,7,2006-02-15 05:09:17.000
4834,37,7,2006-02-15 05:09:17.000
4835,37,7,2006-02-15 05:09:17.000
4836,38,7,2006-02-15 05:09:17.000
4837,38,7,2006-02-15 05:09:17.000
4838,38,7,2006-02-15 05:09:17.000
4839,38,7,2006-02-15 05:09:17.000
4840,38,7,2006-02-15 05:09:17.000
4841,38,7,2006-02-15 05:09:17.000
4842,38,7,2006-02-15 05:09:17.000
4843,39,7,2006-02-15 05:09:17.000
4844,39,7,2006-02-15 05:09:17.000
4845,39,7,2006-02-15 05:09:17.000
4846,39,7,2006-02-15 05:09:17.000
4847,39,7,2006-02-15 05:09:17.000
4848,39,7,2006-02-15 05:09:17.000
4849,39,7,2006-02-15 05:09:17.000
4850,39,7,2006-02-15 05:09:17.000
4851,40,7,2006-02-15 05:09:17.000
4852,40,7,2006-02-15 05:09:17.000
4853,40,7,2006-02-15 05:09:17.000
4854,40,7,2006-02-15 05:09:17.000
4855,40,7,2006-02-15 05:09:17.000
4856,40,7,2006-02-15 05:09:17.000
4857,40,7,2006-02-15 05:09:17.000
4858,40,7,2006-02-15 05:09:17.000
4859,41,7,2006-02-15 05:09:17.000
4860,41,7,2006-02-15 05:09:17.000
4861,41,7,2006-02-15 05:09:17.000
4862,42,7,2006-02-15 05:09:17.000
4863,42,7,2006-02-15 05:09:17.000
4864,42,7,2006-02-15 05:09:17.000
4865,42,7,2006-02-15 05:09:17.000
4866,42,7,2006-02-15 05:09:17.000
4867,42,7,2006-02-15 05:09:17.000
4868,42,7,2006-02-15 05:09:17.000
4869,43,7,2006-02-15 05:09:17.000
4870,43,7,2006-02-15 05:09:17.000
4871,43,7,2006-02-15 05:09:17.000
4872,43,7,2006-02-15 05:09:17.000
4873,44,7,2006-02-15 05:09:17.000
4874,44,7,2006-02-15 05:09:17.000
4875,44,7,2006-02-15 05:09:17.000
4876,45,7,2006-02-15 05:09:17.000
4877,45,7,2006-02-15 05:09:17.000
4878,45,7,2006-02-15 05:09:17.000
4879,45,7,2006-02-15 05:09:17.000
4880,45,7,2006-02-15 05:09:17.000
4881,46,7,2006-02-15 05:09:17.000
4882,46,7,2006-02-15 05:09:17.000
4883,46,7,2006-02-15 05:09:17.000
4884,47,7,2006-02-15 05:09:17.000
4885,47,7,2006-02-15 05:09:17.000
4886,47,7,2006-02-15 05:09:17.000
4887,47,7,2006-02-15 05:09:17.000
4888,48,7,2006-02-15 05:09:17.000
4889,48,7,2006-02-15 05:09:17.000
4890,48,7,2006-02-15 05:09:17.000
4891,48,7,2006-02-15 05:09:17.000
4892,49,7,2006-02-15 05:09:17.000
4893,49,7,2006-02-15 05:09:17.000
4894,49,7,2006-02-15 05:09:17.000
4895,49,7,2006-02-15 05:09:17.000
4896,49,7,2006-02-15 05:09:17.000
4897,50,7,2006-02-15 05:09:17.000
4898,50,7,2006-02-15 05:09:17.000
4899,50,7,2006-02-15 05:09:17.000
4900,50,7,2006-02-15 05:09:17.000
4901,50,7,2006-02-15 05:09:17.000
4902,50,7,2006-02-15 05:09:17.000
4903,51,7,2006-02-15 05:09:17.000
4904,51,7,2006-02-15 05:09:17.000
4905,51,7,2006-02-15 05:09:17.000
4906,51,7,2006-02-15 05:09:17.000
4907,51,7,2006-02-15 05:09:17.000
4908,51,7,2006-02-15 05:09:17.000
4909,51,7,2006-02-15 05:09:17.000
4910,52,7,2006-02-15 05:09:17.000
4911,52,7,2006-02-15 05:09:17.000
4912,52,7,2006-02-15 05:09:17.000
4913,53,7,2006-02-15 05:09:17.000
4914,53,7,2006-02-15 05:09:17.000
4915,53,7,2006-02-15 05:09:17.000
4916,53,7,2006-02-15 05:09:17.000
4917,53,7,2006-02-15 05:09:17.000
4918,54,7,2006-02-15 05:09:17.000
4919,54,7,2006-02-15 05:09:17.000
4920,54,7,2006-02-15 05:09:17.000
4921,54,7,2006-02-15 05:09:17.000
4922,55,7,2006-02-15 05:09:17.000
4923,55,7,2006-02-15 05:09:17.000
4924,55,7,2006-02-15 05:09:17.000
4925,55,7,2006-02-15 05:09:17.000
4926,55,7,2006-02-15 05:09:17.000
4927,55,7,2006-02-15 05:09:17.000
4928,55,7,2006-02-15 05:09:17.000
4929,55,7,2006-02-15 05:09:17.000
4930,56,7,2006-02-15 05:09:17.000
4931,56,7,2006-02-15 05:09:17.000
4932,56,7,2006-02-15 05:09:17.000
4933,56,7,2006-02-15 05:09:17.000
4934,57,7,2006-02-15 05:09:17.000
4935,57,7,2006-02-15 05:09:17.000
4936,57,7,2006-02-15 05:09:17.000
4937,57,7,2006-02-15 05:09:17.000
4938,57,7,2006-02-15 05:09:17.000
4939,57,7,2006-02-15 05:09:17.000
4940,58,7,2006-02-15 05:09:17.000
4941,58,7,2006-02-15 05:09:17.000
4942,58,7,2006-02-15 05:09:17.000
4943,58,7,2006-02-15 05:09:17.000
4944,58,7,2006-02-15 05:09:17.000
4945,58,7,2006-02-15 05:09:17.000
4946,58,7,2006-02-15 05:09:17.000
4947,58,7,2006-02-15 05:09:17.000
4948,59,7,2006-02-15 05:09:17.000
4949,59,7,2006-02-15 05:09:17.000
4950,59,7,2006-02-15 05:09:17.000
4951,59,7,2006-02-15 05:09:17.000
4952,59,7,2006-02-15 05:09:17.000
4953,59,7,2006-02-15 05:09:17.000
4954,59,7,2006-02-15 05:09:17.000
4955,59,7,2006-02-15 05:09:17.000
4956,59,7,2006-02-15 05:09:17.000
4957,60,7,2006-02-15 05:09:17.000
4958,60,7,2006-02-15 05:09:17.000
4959,60,7,2006-02-15 05:09:17.000
4960,60,7,2006-02-15 05:09:17.000
4961,60,7,2006-02-15 05:09:17.000
4962,60,7,2006-02-15 05:09:17.000
4963,61,7,2006-02-15 05:09:17.000
4964,61,7,2006-02-15 05:09:17.000
4965,61,7,2006-02-15 05:09:17.000
4966,61,7,2006-02-15 05:09:17.000
4967,62,7,2006-02-15 05:09:17.000
4968,62,7,2006-02-15 05:09:17.000
4969,62,7,2006-02-15 05:09:17.000
4970,62,7,2006-02-15 05:09:17.000
4971,62,7,2006-02-15 05:09:17.000
4972,62,7,2006-02-15 05:09:17.000
4973,62,7,2006-02-15 05:09:17.000
4974,62,7,2006-02-15 05:09:17.000
4975,62,7,2006-02-15 05:09:17.000
4976,63,7,2006-02-15 05:09:17.000
4977,63,7,2006-02-15 05:09:17.000
4978,63,7,2006-02-15 05:09:17.000
4979,63,7,2006-02-15 05:09:17.000
4980,63,7,2006-02-15 05:09:17.000
4981,64,7,2006-02-15 05:09:17.000
4982,64,7,2006-02-15 05:09:17.000
4983,64,7,2006-02-15 05:09:17.000
4984,64,7,2006-02-15 05:09:17.000
4985,64,7,2006-02-15 05:09:17.000
4986,64,7,2006-02-15 05:09:17.000
4987,64,7,2006-02-15 05:09:17.000
4988,64,7,2006-02-15 05:09:17.000
4989,64,7,2006-02-15 05:09:17.000
4990,65,7,2006-02-15 05:09:17.000
4991,65,7,2006-02-15 05:09:17.000
4992,65,7,2006-02-15 05:09:17.000
4993,65,7,2006-02-15 05:09:17.000
4994,65,7,2006-02-15 05:09:17.000
4995,65,7,2006-02-15 05:09:17.000
4996,66,7,2006-02-15 05:09:17.000
4997,66,7,2006-02-15 05:09:17.000
4998,66,7,2006-02-15 05:09:17.000
4999,66,7,2006-02-15 05:09:17.000
5000,67,7,2006-02-15 05:09:17.000
5001,67,7,2006-02-15 05:09:17.000
5002,67,7,2006-02-15 05:09:17.000
5003,67,7,2006-02-15 05:09:17.000
5004,67,7,2006-02-15 05:09:17.000
5005,68,7,2006-02-15 05:09:17.000
5006,68,7,2006-02-15 05:09:17.000
5007,68,7,2006-02-15 05:09:17.000
5008,68,7,2006-02-15 05:09:17.000
5009,68,7,2006-02-15 05:09:17.000
5010,68,7,2006-02-15 05:09:17.000
5011,68,7,2006-02-15 05:09:17.000
5012,68,7,2006-02-15 05:09:17.000
5013,68,7,2006-02-15 05:09:17.000
5014,69,7,2006-02-15 05:09:17.000
5015,69,7,2006-02-15 05:09:17.000
5016,69,7,2006-02-15 05:09:17.000
