paymentId,rentalId,customerId,py_staffId,amount,paymentDate,py_lastUpdate
121564,400000,920,132,24,2017-07-31 12:46:32,2017-07-31 12:46:32
121565,400001,792,185,94,2017-08-09 06:41:38,2017-08-09 06:41:38
121566,400002,939,129,96,2010-04-20 21:32:56,2010-04-20 21:32:56
121567,400003,1201,173,60,2014-03-14 12:58:52,2014-03-14 12:58:52
121568,400004,685,143,100,2014-06-02 18:29:10,2014-06-02 18:29:10
121569,400005,757,169,60,2014-09-01 07:28:06,2014-09-01 07:28:06
121570,400006,639,186,34,2018-08-20 18:21:32,2018-08-20 18:21:32
121571,400007,1051,150,44,2020-04-04 16:51:40,2020-04-04 16:51:40
121572,400008,781,130,101,2013-08-27 21:37:23,2013-08-27 21:37:23
121573,400009,1197,147,99,2010-06-11 10:51:33,2010-06-11 10:51:33
121574,400010,657,162,81,2018-12-03 05:11:36,2018-12-03 05:11:36
121575,400011,875,137,58,2019-09-24 16:19:54,2019-09-24 16:19:54
121576,400012,655,186,55,2018-12-08 05:52:53,2018-12-08 05:52:53
121577,400013,738,128,85,2011-03-13 09:21:33,2011-03-13 09:21:33
121578,400014,693,156,108,2010-03-09 06:10:33,2010-03-09 06:10:33
121579,400015,739,158,31,2010-10-18 05:34:37,2010-10-18 05:34:37
121580,400016,662,129,77,2020-04-03 10:17:05,2020-04-03 10:17:05
121581,400017,1119,143,101,2019-03-04 22:25:06,2019-03-04 22:25:06
121582,400018,635,158,49,2010-03-08 23:08:40,2010-03-08 23:08:40
121583,400019,661,156,91,2011-04-25 07:52:29,2011-04-25 07:52:29
121584,400020,823,129,39,2012-12-15 01:31:24,2012-12-15 01:31:24
121585,400021,1095,129,80,2016-01-17 23:52:30,2016-01-17 23:52:30
121586,400022,969,150,109,2011-06-07 02:05:24,2011-06-07 02:05:24
121587,400023,903,163,36,2016-04-05 12:31:33,2016-04-05 12:31:33
121588,400024,703,172,20,2018-11-05 00:08:30,2018-11-05 00:08:30
121589,400025,1045,132,46,2020-10-08 02:54:06,2020-10-08 02:54:06
121590,400026,771,161,91,2018-01-31 19:15:17,2018-01-31 19:15:17
121591,400027,1132,160,97,2016-05-15 21:18:11,2016-05-15 21:18:11
121592,400028,677,145,101,2019-07-23 13:08:37,2019-07-23 13:08:37
121593,400029,891,129,57,2018-06-30 12:04:03,2018-06-30 12:04:03
121594,400030,1127,132,81,2019-04-05 18:08:54,2019-04-05 18:08:54
121595,400031,985,184,89,2011-10-20 15:06:17,2011-10-20 15:06:17
121596,400032,856,151,109,2010-05-02 16:48:38,2010-05-02 16:48:38
121597,400033,1131,184,127,2018-09-21 07:29:53,2018-09-21 07:29:53
121598,400034,631,146,113,2017-07-20 06:32:28,2017-07-20 06:32:28
121599,400035,925,144,30,2014-04-08 19:40:23,2014-04-08 19:40:23
121600,400036,718,163,115,2016-10-04 03:06:27,2016-10-04 03:06:27
121601,400037,1183,165,95,2016-03-29 19:11:25,2016-03-29 19:11:25
121602,400038,671,160,125,2014-09-02 13:01:52,2014-09-02 13:01:52
121603,400039,966,137,50,2013-09-03 03:28:42,2013-09-03 03:28:42
121604,400040,807,168,58,2016-11-28 20:54:20,2016-11-28 20:54:20
121605,400041,649,165,124,2019-10-30 15:29:03,2019-10-30 15:29:03
121606,400042,1025,177,64,2015-12-16 09:13:55,2015-12-16 09:13:55
121607,400043,1121,183,64,2020-04-27 07:47:19,2020-04-27 07:47:19
121608,400044,825,135,29,2010-12-05 05:38:54,2010-12-05 05:38:54
121609,400045,1065,148,60,2010-03-02 08:09:33,2010-03-02 08:09:33
121610,400046,631,183,60,2015-09-28 02:27:02,2015-09-28 02:27:02
121611,400047,998,152,127,2010-12-12 18:24:02,2010-12-12 18:24:02
121612,400048,703,141,73,2016-03-27 21:11:24,2016-03-27 21:11:24
121613,400049,1141,147,74,2013-11-07 09:13:23,2013-11-07 09:13:23
121614,400050,802,163,40,2015-02-10 04:56:56,2015-02-10 04:56:56
121615,400051,1064,163,114,2015-12-19 06:10:12,2015-12-19 06:10:12
121616,400052,693,143,114,2017-06-01 06:21:47,2017-06-01 06:21:47
121617,400053,1128,134,42,2019-06-10 05:31:49,2019-06-10 05:31:49
121618,400054,982,167,74,2018-02-08 22:20:00,2018-02-08 22:20:00
121619,400055,1115,161,57,2015-01-18 09:22:55,2015-01-18 09:22:55
121620,400056,641,142,111,2019-07-24 03:35:55,2019-07-24 03:35:55
121621,400057,874,150,68,2014-11-19 07:57:42,2014-11-19 07:57:42
121622,400058,613,140,110,2011-03-31 05:23:17,2011-03-31 05:23:17
121623,400059,647,147,57,2013-06-16 07:56:30,2013-06-16 07:56:30
121624,400060,804,132,66,2013-04-19 19:59:12,2013-04-19 19:59:12
121625,400061,1190,132,121,2014-02-21 15:43:34,2014-02-21 15:43:34
121626,400062,967,144,85,2019-10-02 09:49:06,2019-10-02 09:49:06
121627,400063,737,129,71,2020-08-10 07:19:11,2020-08-10 07:19:11
121628,400064,964,160,28,2013-04-20 09:40:16,2013-04-20 09:40:16
121629,400065,1104,182,61,2015-11-23 17:34:23,2015-11-23 17:34:23
121630,400066,633,169,44,2020-10-22 01:17:31,2020-10-22 01:17:31
121631,400067,822,183,42,2015-09-11 01:50:00,2015-09-11 01:50:00
121632,400068,1124,186,123,2020-06-19 10:55:46,2020-06-19 10:55:46
121633,400069,856,183,118,2011-09-08 23:27:13,2011-09-08 23:27:13
121634,400070,967,143,39,2015-07-30 04:47:37,2015-07-30 04:47:37
121635,400071,602,178,83,2018-12-27 21:57:42,2018-12-27 21:57:42
121636,400072,950,133,73,2012-02-08 19:56:22,2012-02-08 19:56:22
121637,400073,848,168,86,2019-06-24 01:00:25,2019-06-24 01:00:25
121638,400074,978,178,75,2014-07-23 05:29:54,2014-07-23 05:29:54
121639,400075,939,166,110,2014-10-25 11:32:25,2014-10-25 11:32:25
121640,400076,950,137,127,2010-01-29 18:17:43,2010-01-29 18:17:43
121641,400077,925,176,50,2011-07-17 16:14:55,2011-07-17 16:14:55
121642,400078,1078,132,95,2013-06-17 22:48:47,2013-06-17 22:48:47
121643,400079,1042,186,52,2013-06-06 06:08:59,2013-06-06 06:08:59
121644,400080,959,152,47,2017-11-19 05:08:12,2017-11-19 05:08:12
121645,400081,1073,162,61,2016-05-17 05:12:16,2016-05-17 05:12:16
121646,400082,953,186,63,2017-09-30 13:47:50,2017-09-30 13:47:50
121647,400083,1079,161,37,2016-11-23 23:03:28,2016-11-23 23:03:28
121648,400084,1178,160,92,2013-10-18 00:41:22,2013-10-18 00:41:22
121649,400085,1130,171,60,2011-01-21 15:05:41,2011-01-21 15:05:41
121650,400086,887,166,69,2015-07-17 00:14:13,2015-07-17 00:14:13
121651,400087,1070,145,67,2011-10-08 08:58:47,2011-10-08 08:58:47
121652,400088,1179,130,81,2014-04-07 11:23:06,2014-04-07 11:23:06
121653,400089,1034,145,26,2011-09-18 18:12:44,2011-09-18 18:12:44
121654,400090,944,159,90,2010-10-16 09:35:19,2010-10-16 09:35:19
121655,400091,851,175,26,2018-12-19 19:25:21,2018-12-19 19:25:21
121656,400092,1143,175,40,2020-11-12 03:39:09,2020-11-12 03:39:09
121657,400093,1074,130,119,2019-09-15 20:22:01,2019-09-15 20:22:01
121658,400094,794,147,55,2018-10-08 15:13:21,2018-10-08 15:13:21
121659,400095,816,157,52,2014-10-21 13:15:50,2014-10-21 13:15:50
121660,400096,1126,184,105,2019-07-19 05:44:55,2019-07-19 05:44:55
121661,400097,689,177,91,2010-09-08 07:58:55,2010-09-08 07:58:55
121662,400098,1055,129,44,2016-10-03 16:36:46,2016-10-03 16:36:46
121663,400099,818,159,93,2012-02-26 05:30:36,2012-02-26 05:30:36
121664,400100,1091,186,51,2015-07-08 16:00:36,2015-07-08 16:00:36
121665,400101,609,171,128,2018-12-07 13:12:22,2018-12-07 13:12:22
121666,400102,993,139,108,2010-12-25 00:04:45,2010-12-25 00:04:45
121667,400103,608,180,39,2012-10-19 22:55:09,2012-10-19 22:55:09
121668,400104,642,146,106,2011-12-31 10:09:37,2011-12-31 10:09:37
121669,400105,934,176,97,2018-01-02 22:37:23,2018-01-02 22:37:23
121670,400106,886,156,112,2011-06-20 14:45:30,2011-06-20 14:45:30
121671,400107,1118,177,44,2013-05-01 20:00:12,2013-05-01 20:00:12
121672,400108,960,167,91,2016-06-07 01:53:33,2016-06-07 01:53:33
121673,400109,1047,174,124,2020-03-15 06:38:08,2020-03-15 06:38:08
121674,400110,1152,161,55,2010-08-03 18:44:37,2010-08-03 18:44:37
121675,400111,815,127,30,2010-09-20 02:41:21,2010-09-20 02:41:21
121676,400112,814,158,120,2016-10-01 18:32:26,2016-10-01 18:32:26
121677,400113,1065,168,96,2013-04-20 05:44:51,2013-04-20 05:44:51
121678,400114,929,174,92,2020-07-11 22:35:04,2020-07-11 22:35:04
121679,400115,685,129,59,2015-03-03 11:05:02,2015-03-03 11:05:02
121680,400116,718,130,109,2019-12-22 17:03:36,2019-12-22 17:03:36
121681,400117,1060,156,22,2012-11-20 06:39:26,2012-11-20 06:39:26
121682,400118,859,166,23,2011-08-17 10:34:37,2011-08-17 10:34:37
121683,400119,605,184,78,2011-01-05 16:47:52,2011-01-05 16:47:52
121684,400120,1052,146,79,2011-01-03 13:38:38,2011-01-03 13:38:38
121685,400121,1129,176,119,2019-10-09 09:14:40,2019-10-09 09:14:40
121686,400122,732,142,107,2017-06-05 12:42:29,2017-06-05 12:42:29
121687,400123,805,139,52,2018-12-25 09:48:44,2018-12-25 09:48:44
121688,400124,1111,186,67,2015-05-11 13:43:12,2015-05-11 13:43:12
121689,400125,1067,160,24,2016-09-23 02:43:09,2016-09-23 02:43:09
121690,400126,651,129,67,2020-09-19 03:38:37,2020-09-19 03:38:37
121691,400127,955,174,121,2014-07-02 05:23:51,2014-07-02 05:23:51
121692,400128,721,134,54,2018-10-19 02:15:07,2018-10-19 02:15:07
121693,400129,844,166,96,2016-02-27 03:23:00,2016-02-27 03:23:00
121694,400130,1190,133,54,2012-04-30 05:41:14,2012-04-30 05:41:14
121695,400131,1096,173,93,2011-05-17 03:00:25,2011-05-17 03:00:25
121696,400132,646,186,100,2020-06-08 12:21:40,2020-06-08 12:21:40
121697,400133,902,186,37,2018-11-07 05:36:13,2018-11-07 05:36:13
121698,400134,702,181,34,2011-03-03 10:10:37,2011-03-03 10:10:37
121699,400135,1067,129,66,2018-08-08 10:50:31,2018-08-08 10:50:31
121700,400136,715,185,96,2020-08-31 15:26:58,2020-08-31 15:26:58
121701,400137,631,168,28,2011-06-02 13:42:44,2011-06-02 13:42:44
121702,400138,913,155,76,2017-09-21 08:29:55,2017-09-21 08:29:55
121703,400139,607,147,23,2012-11-30 08:50:42,2012-11-30 08:50:42
121704,400140,820,135,61,2013-06-05 23:40:09,2013-06-05 23:40:09
121705,400141,1100,158,26,2012-06-21 22:10:04,2012-06-21 22:10:04
121706,400142,801,186,106,2012-09-07 05:16:33,2012-09-07 05:16:33
121707,400143,986,159,97,2011-04-07 05:30:35,2011-04-07 05:30:35
121708,400144,1156,155,62,2011-04-28 08:44:29,2011-04-28 08:44:29
121709,400145,1157,184,38,2016-01-08 06:52:15,2016-01-08 06:52:15
121710,400146,835,134,119,2014-06-09 09:47:27,2014-06-09 09:47:27
121711,400147,881,185,72,2010-10-23 05:01:13,2010-10-23 05:01:13
121712,400148,648,152,79,2015-05-06 13:13:53,2015-05-06 13:13:53
121713,400149,762,151,36,2016-03-17 12:53:00,2016-03-17 12:53:00
121714,400150,1158,145,84,2012-06-10 03:32:03,2012-06-10 03:32:03
121715,400151,756,183,105,2013-02-07 21:43:24,2013-02-07 21:43:24
121716,400152,709,158,102,2012-01-28 02:18:33,2012-01-28 02:18:33
121717,400153,804,173,118,2019-05-02 10:32:19,2019-05-02 10:32:19
121718,400154,670,184,43,2011-03-05 22:52:29,2011-03-05 22:52:29
121719,400155,939,182,117,2014-01-30 00:42:35,2014-01-30 00:42:35
121720,400156,1117,128,60,2019-04-14 16:57:49,2019-04-14 16:57:49
121721,400157,703,165,27,2020-08-16 16:32:56,2020-08-16 16:32:56
121722,400158,814,151,125,2015-09-14 10:00:29,2015-09-14 10:00:29
121723,400159,774,156,41,2017-09-13 14:16:51,2017-09-13 14:16:51
121724,400160,786,167,85,2019-04-04 13:51:13,2019-04-04 13:51:13
121725,400161,684,138,104,2019-02-13 16:53:59,2019-02-13 16:53:59
121726,400162,649,185,21,2020-07-07 19:42:42,2020-07-07 19:42:42
121727,400163,879,143,116,2010-08-14 07:02:12,2010-08-14 07:02:12
121728,400164,1107,157,74,2020-10-29 21:06:26,2020-10-29 21:06:26
121729,400165,669,132,120,2016-10-31 11:18:49,2016-10-31 11:18:49
121730,400166,814,182,49,2015-11-14 12:29:31,2015-11-14 12:29:31
121731,400167,953,175,120,2014-03-13 06:26:43,2014-03-13 06:26:43
121732,400168,1017,133,52,2010-11-08 23:26:02,2010-11-08 23:26:02
121733,400169,882,157,100,2014-03-02 19:21:11,2014-03-02 19:21:11
121734,400170,1033,143,45,2016-04-07 22:03:14,2016-04-07 22:03:14
121735,400171,926,147,69,2017-04-30 11:38:26,2017-04-30 11:38:26
121736,400172,633,128,55,2018-11-04 16:33:43,2018-11-04 16:33:43
121737,400173,787,138,21,2012-09-21 00:27:07,2012-09-21 00:27:07
121738,400174,786,171,98,2011-01-03 03:05:00,2011-01-03 03:05:00
121739,400175,1139,157,62,2018-02-11 01:07:14,2018-02-11 01:07:14
121740,400176,1021,139,42,2020-11-21 19:52:46,2020-11-21 19:52:46
121741,400177,1150,185,41,2016-04-28 09:30:48,2016-04-28 09:30:48
121742,400178,1188,186,79,2014-05-07 09:55:18,2014-05-07 09:55:18
121743,400179,1098,165,67,2015-11-18 10:53:12,2015-11-18 10:53:12
121744,400180,612,170,101,2012-08-08 01:12:58,2012-08-08 01:12:58
121745,400181,1093,166,74,2011-11-19 13:25:49,2011-11-19 13:25:49
121746,400182,974,173,23,2019-04-09 09:56:27,2019-04-09 09:56:27
121747,400183,778,155,96,2012-11-03 11:27:37,2012-11-03 11:27:37
121748,400184,686,173,47,2020-11-18 00:36:07,2020-11-18 00:36:07
121749,400185,909,170,69,2016-02-18 18:44:15,2016-02-18 18:44:15
121750,400186,968,177,104,2018-06-30 05:04:06,2018-06-30 05:04:06
121751,400187,651,127,64,2016-02-10 22:00:56,2016-02-10 22:00:56
121752,400188,732,148,71,2017-03-05 06:59:06,2017-03-05 06:59:06
121753,400189,711,180,69,2011-06-14 18:08:51,2011-06-14 18:08:51
121754,400190,721,154,92,2018-07-15 00:25:26,2018-07-15 00:25:26
121755,400191,1133,144,30,2010-10-16 08:06:48,2010-10-16 08:06:48
121756,400192,719,130,45,2018-04-08 14:39:49,2018-04-08 14:39:49
121757,400193,797,142,61,2018-01-06 01:42:08,2018-01-06 01:42:08
121758,400194,995,161,89,2016-07-02 14:58:40,2016-07-02 14:58:40
121759,400195,1074,147,78,2014-04-08 05:38:23,2014-04-08 05:38:23
121760,400196,867,171,89,2016-05-14 00:20:23,2016-05-14 00:20:23
121761,400197,839,173,83,2012-06-02 19:28:15,2012-06-02 19:28:15
121762,400198,845,140,82,2019-04-08 10:31:06,2019-04-08 10:31:06
121763,400199,725,165,68,2013-09-08 15:39:59,2013-09-08 15:39:59
121764,400200,772,179,112,2016-04-13 12:35:28,2016-04-13 12:35:28
121765,400201,823,169,116,2013-10-15 03:21:59,2013-10-15 03:21:59
121766,400202,958,154,110,2015-08-15 14:41:27,2015-08-15 14:41:27
121767,400203,1117,147,29,2020-08-14 00:53:22,2020-08-14 00:53:22
121768,400204,935,162,70,2015-04-27 20:05:09,2015-04-27 20:05:09
121769,400205,765,139,59,2016-08-18 07:34:20,2016-08-18 07:34:20
121770,400206,840,179,48,2020-10-12 01:46:49,2020-10-12 01:46:49
121771,400207,682,135,37,2011-06-19 07:33:43,2011-06-19 07:33:43
121772,400208,941,150,77,2010-04-30 23:17:25,2010-04-30 23:17:25
121773,400209,1027,171,116,2014-04-14 07:17:53,2014-04-14 07:17:53
121774,400210,677,142,75,2010-06-30 02:47:12,2010-06-30 02:47:12
121775,400211,851,157,43,2016-07-24 23:10:14,2016-07-24 23:10:14
121776,400212,1033,177,100,2010-01-22 05:14:13,2010-01-22 05:14:13
121777,400213,812,158,32,2010-08-25 08:33:51,2010-08-25 08:33:51
121778,400214,825,135,125,2014-05-31 05:16:11,2014-05-31 05:16:11
121779,400215,892,180,74,2016-05-25 05:43:15,2016-05-25 05:43:15
121780,400216,787,184,47,2017-07-19 03:09:30,2017-07-19 03:09:30
121781,400217,822,168,102,2018-03-13 00:28:25,2018-03-13 00:28:25
121782,400218,650,173,125,2013-04-29 13:30:53,2013-04-29 13:30:53
121783,400219,883,175,91,2013-12-17 03:21:45,2013-12-17 03:21:45
121784,400220,790,146,66,2015-12-19 01:26:07,2015-12-19 01:26:07
121785,400221,1023,153,25,2013-03-15 23:46:03,2013-03-15 23:46:03
121786,400222,624,148,85,2019-06-06 16:36:33,2019-06-06 16:36:33
121787,400223,827,183,117,2013-03-26 20:17:36,2013-03-26 20:17:36
121788,400224,647,141,72,2011-11-12 17:11:13,2011-11-12 17:11:13
121789,400225,649,146,82,2019-01-31 09:49:40,2019-01-31 09:49:40
121790,400226,822,177,118,2011-09-12 12:30:09,2011-09-12 12:30:09
121791,400227,1088,130,109,2016-06-30 00:10:53,2016-06-30 00:10:53
121792,400228,608,167,121,2018-11-18 04:02:21,2018-11-18 04:02:21
121793,400229,1183,151,120,2017-06-11 21:26:39,2017-06-11 21:26:39
121794,400230,679,143,85,2011-07-02 05:58:02,2011-07-02 05:58:02
121795,400231,1085,141,24,2016-10-16 07:23:21,2016-10-16 07:23:21
121796,400232,653,147,120,2018-03-08 06:47:29,2018-03-08 06:47:29
121797,400233,812,133,93,2020-02-03 14:51:03,2020-02-03 14:51:03
121798,400234,1133,155,35,2018-08-29 15:22:17,2018-08-29 15:22:17
121799,400235,1102,180,75,2019-09-25 10:58:47,2019-09-25 10:58:47
121800,400236,888,146,61,2016-04-17 21:12:32,2016-04-17 21:12:32
121801,400237,1141,148,79,2012-08-07 20:57:27,2012-08-07 20:57:27
121802,400238,693,136,20,2015-06-22 00:44:20,2015-06-22 00:44:20
121803,400239,664,181,122,2015-08-09 03:30:10,2015-08-09 03:30:10
121804,400240,765,182,50,2010-03-14 18:50:03,2010-03-14 18:50:03
121805,400241,813,145,122,2013-04-23 18:02:48,2013-04-23 18:02:48
121806,400242,615,163,29,2010-09-03 06:25:37,2010-09-03 06:25:37
121807,400243,744,157,80,2017-08-10 19:39:36,2017-08-10 19:39:36
121808,400244,641,157,27,2015-04-09 22:44:46,2015-04-09 22:44:46
121809,400245,991,155,111,2020-05-18 16:35:29,2020-05-18 16:35:29
121810,400246,721,150,63,2012-03-22 09:22:02,2012-03-22 09:22:02
121811,400247,602,154,125,2016-09-09 00:28:00,2016-09-09 00:28:00
121812,400248,877,147,73,2015-06-29 14:30:26,2015-06-29 14:30:26
121813,400249,957,173,111,2010-09-26 03:40:25,2010-09-26 03:40:25
