paymentId,rentalId,customerId,py_staffId,amount,paymentDate,py_lastUpdate
121564,400000,1041,130,128,7/31/2017 12:46,7/31/2017 12:46
121565,400001,902,143,120,8/9/2017 6:41,8/9/2017 6:41
121566,400002,1015,132,38,4/20/2010 21:32,4/20/2010 21:32
121567,400003,685,138,96,3/14/2014 12:58,3/14/2014 12:58
121568,400004,1092,131,86,6/2/2014 18:29,6/2/2014 18:29
121569,400005,710,155,38,9/1/2014 7:28,9/1/2014 7:28
121570,400006,773,176,104,8/20/2018 18:21,8/20/2018 18:21
121571,400007,624,128,69,4/4/2020 16:51,4/4/2020 16:51
121572,400008,894,165,73,8/27/2013 21:37,8/27/2013 21:37
121573,400009,696,163,65,6/11/2010 10:51,6/11/2010 10:51
121574,400010,1090,142,109,12/3/2018 5:11,12/3/2018 5:11
121575,400011,1024,127,39,9/24/2019 16:19,9/24/2019 16:19
121576,400012,852,183,111,12/8/2018 5:52,12/8/2018 5:52
121577,400013,1076,148,97,3/13/2011 9:21,3/13/2011 9:21
121578,400014,1144,136,43,3/9/2010 6:10,3/9/2010 6:10
121579,400015,1088,157,58,10/18/2010 5:34,10/18/2010 5:34
121580,400016,690,141,123,4/3/2020 10:17,4/3/2020 10:17
121581,400017,886,184,106,3/4/2019 22:25,3/4/2019 22:25
121582,400018,1065,160,89,3/8/2010 23:08,3/8/2010 23:08
121583,400019,970,181,40,4/25/2011 7:52,4/25/2011 7:52
121584,400020,941,163,27,12/15/2012 1:31,12/15/2012 1:31
121585,400021,857,167,120,1/17/2016 23:52,1/17/2016 23:52
121586,400022,975,160,97,6/7/2011 2:05,6/7/2011 2:05
121587,400023,751,173,68,4/5/2016 12:31,4/5/2016 12:31
121588,400024,1047,151,107,11/5/2018 0:08,11/5/2018 0:08
121589,400025,664,138,24,10/8/2020 2:54,10/8/2020 2:54
121590,400026,716,162,78,1/31/2018 19:15,1/31/2018 19:15
121591,400027,646,164,22,5/15/2016 21:18,5/15/2016 21:18
121592,400028,1125,170,87,7/23/2019 13:08,7/23/2019 13:08
121593,400029,1095,156,22,6/30/2018 12:04,6/30/2018 12:04
121594,400030,698,157,75,4/5/2019 18:08,4/5/2019 18:08
121595,400031,1074,171,72,10/20/2011 15:06,10/20/2011 15:06
121596,400032,1191,141,109,5/2/2010 16:48,5/2/2010 16:48
121597,400033,807,166,28,9/21/2018 7:29,9/21/2018 7:29
121598,400034,1177,167,24,7/20/2017 6:32,7/20/2017 6:32
121599,400035,675,171,98,4/8/2014 19:40,4/8/2014 19:40
121600,400036,1191,128,43,10/4/2016 3:06,10/4/2016 3:06
121601,400037,1153,159,58,3/29/2016 19:11,3/29/2016 19:11
121602,400038,724,168,101,9/2/2014 13:01,9/2/2014 13:01
