rentalId,rentalDate,inventoryId,customerId,rt_returnDate,rt_staffId,rt_lastUpdate
400000,2017-07-31 12:46:32,4827,920,2017-08-05 12:46:32,160,2017-08-06 12:46:32
400001,2017-08-09 06:41:38,7771,792,2017-08-15 06:41:38,168,2017-08-16 06:41:38
400002,2010-04-20 21:32:56,7304,939,2010-04-21 21:32:56,158,2010-04-22 21:32:56
400003,2014-03-14 12:58:52,9235,1201,2014-03-20 12:58:52,178,2014-03-21 12:58:52
400004,2014-06-02 18:29:10,7363,685,2014-06-03 18:29:10,152,2014-06-04 18:29:10
400005,2014-09-01 07:28:06,8115,757,2014-09-07 07:28:06,133,2014-09-08 07:28:06
400006,2018-08-20 18:21:32,7506,639,2018-08-23 18:21:32,149,2018-08-24 18:21:32
400007,2020-04-04 16:51:40,6547,1051,2020-04-07 16:51:40,159,2020-04-08 16:51:40
400008,2013-08-27 21:37:23,4947,781,2013-08-29 21:37:23,141,2013-08-30 21:37:23
400009,2010-06-11 10:51:33,6242,1197,2010-06-15 10:51:33,169,2010-06-16 10:51:33
400010,2018-12-03 05:11:36,9213,657,2018-12-07 05:11:36,185,2018-12-08 05:11:36
400011,2019-09-24 16:19:54,5769,875,2019-09-29 16:19:54,128,2019-09-30 16:19:54
400012,2018-12-08 05:52:53,7622,655,2018-12-17 05:52:53,156,2018-12-18 05:52:53
400013,2011-03-13 09:21:33,7839,738,2011-03-20 09:21:33,183,2011-03-21 09:21:33
400014,2010-03-09 06:10:33,6163,693,2010-03-17 06:10:33,148,2010-03-18 06:10:33
400015,2010-10-18 05:34:37,9777,739,2010-10-23 05:34:37,131,2010-10-24 05:34:37
400016,2020-04-03 10:17:05,8524,662,2020-04-05 10:17:05,128,2020-04-06 10:17:05
400017,2019-03-04 22:25:06,5687,1119,2019-03-08 22:25:06,127,2019-03-09 22:25:06
400018,2010-03-08 23:08:40,7215,635,2010-03-14 23:08:40,173,2010-03-15 23:08:40
400019,2011-04-25 07:52:29,5590,661,2011-05-01 07:52:29,159,2011-05-02 07:52:29
400020,2012-12-15 01:31:24,9127,823,2012-12-22 01:31:24,129,2012-12-23 01:31:24
400021,2016-01-17 23:52:30,6876,1095,2016-01-21 23:52:30,132,2016-01-22 23:52:30
400022,2011-06-07 02:05:24,7222,969,2011-06-08 02:05:24,167,2011-06-09 02:05:24
400023,2016-04-05 12:31:33,9484,903,2016-04-09 12:31:33,176,2016-04-10 12:31:33
400024,2018-11-05 00:08:30,6379,703,2018-11-09 00:08:30,143,2018-11-10 00:08:30
400025,2020-10-08 02:54:06,8020,1045,2020-10-12 02:54:06,149,2020-10-13 02:54:06
400026,2018-01-31 19:15:17,8322,771,2018-02-05 19:15:17,154,2018-02-06 19:15:17
400027,2016-05-15 21:18:11,5932,1132,2016-05-24 21:18:11,173,2016-05-25 21:18:11
400028,2019-07-23 13:08:37,4839,677,2019-07-25 13:08:37,147,2019-07-26 13:08:37
400029,2018-06-30 12:04:03,9014,891,2018-07-02 12:04:03,149,2018-07-03 12:04:03
400030,2019-04-05 18:08:54,5736,1127,2019-04-13 18:08:54,172,2019-04-14 18:08:54
400031,2011-10-20 15:06:17,6528,985,2011-10-22 15:06:17,178,2011-10-23 15:06:17
400032,2010-05-02 16:48:38,5455,856,2010-05-10 16:48:38,185,2010-05-11 16:48:38
400033,2018-09-21 07:29:53,9241,1131,2018-09-25 07:29:53,164,2018-09-26 07:29:53
400034,2017-07-20 06:32:28,5338,631,2017-07-24 06:32:28,140,2017-07-25 06:32:28
400035,2014-04-08 19:40:23,8637,925,2014-04-17 19:40:23,159,2014-04-18 19:40:23
400036,2016-10-04 03:06:27,7218,718,2016-10-07 03:06:27,128,2016-10-08 03:06:27
400037,2016-03-29 19:11:25,9299,1183,2016-04-06 19:11:25,176,2016-04-07 19:11:25
400038,2014-09-02 13:01:52,9496,671,2014-09-10 13:01:52,132,2014-09-11 13:01:52
400039,2013-09-03 03:28:42,5011,966,2013-09-12 03:28:42,177,2013-09-13 03:28:42
400040,2016-11-28 20:54:20,7325,807,2016-12-05 20:54:20,127,2016-12-06 20:54:20
400041,2019-10-30 15:29:03,7763,649,2019-10-31 15:29:03,143,2019-11-01 15:29:03
400042,2015-12-16 09:13:55,7397,1025,2015-12-24 09:13:55,162,2015-12-25 09:13:55
400043,2020-04-27 07:47:19,8052,1121,2020-05-01 07:47:19,180,2020-05-02 07:47:19
400044,2010-12-05 05:38:54,7172,825,2010-12-12 05:38:54,180,2010-12-13 05:38:54
400045,2010-03-02 08:09:33,9503,1065,2010-03-08 08:09:33,151,2010-03-09 08:09:33
400046,2015-09-28 02:27:02,9239,631,2015-10-03 02:27:02,135,2015-10-04 02:27:02
400047,2010-12-12 18:24:02,9147,998,2010-12-19 18:24:02,163,2010-12-20 18:24:02
400048,2016-03-27 21:11:24,5442,703,2016-04-02 21:11:24,151,2016-04-03 21:11:24
400049,2013-11-07 09:13:23,6406,1141,2013-11-14 09:13:23,148,2013-11-15 09:13:23
400050,2015-02-10 04:56:56,8241,802,2015-02-15 04:56:56,180,2015-02-16 04:56:56
400051,2015-12-19 06:10:12,8590,1064,2015-12-28 06:10:12,130,2015-12-29 06:10:12
400052,2017-06-01 06:21:47,7807,693,2017-06-06 06:21:47,135,2017-06-07 06:21:47
400053,2019-06-10 05:31:49,9726,1128,2019-06-18 05:31:49,181,2019-06-19 05:31:49
400054,2018-02-08 22:20:00,7641,982,2018-02-12 22:20:00,178,2018-02-13 22:20:00
400055,2015-01-18 09:22:55,9683,1115,2015-01-20 09:22:55,175,2015-01-21 09:22:55
